#Name;shiftX shiftY shiftZ
Aude;-670000.0 -6240000.0 0.0
Abisko;-384000.0 -7593000.0 0.0
Loire;-436000.0 -6704000.0 0.0
Loire49-1;-410000.0 -6700000.0 0.0
Loire49-2;-420000.0 -6701000.0 0.0
Loire18-1;-690000.0 -6750000.0 0.0
Loire18-3;-700000.0 -6680000.0 0.0
Loire45-3;-660000.0 -6740000.0 0.0
Loire45-2;-650000.0 -6750000.0 0.0
Loire45-1;-620000.0 -6750000.0 0.0
Loire41-1;-580000.0 -6720000.0 0.0
Loire37-1;-500000.0 -6690000.0 0.0
Loire44;-381000.0 -6702000.0 0.0
Frehel;-305000.0 -6853000.0 0.0
Semois;-190000.0 -60000.0 0.0
Cher;-660000 -6630000 0.0
Selune;-360000 -6850000 0.0
Galabre;-953000 -6340000 0.0
Moselle;-950000 -6810000 0.0
Otira_1;1.0 1.0 0.0
Les_Glenan;-180000 -6760000 0.0
Bertheaume;-130000.0 -6830000.0 0.0
Ain;-870000 -6530000 0.0
Loire_S14_prov;-680000.0 -6730000.0 0.0
Ardeche;-820000.0 -6340000.0 0.0
Herault;-760000.0 -6310000.0 0.0
Gardon;-820000.0 -6320000.0 0.0
Brioude;-730000.0 -6470000.0 0.0
